job_title,description
Software Engineer,java python dsa algorithms oops coding problem solving git
Data Scientist,python sql machine learning statistics data analysis pandas numpy
Cloud Engineer,aws azure linux devops docker kubernetes cloud deployment
AI Engineer,deep learning neural networks python tensorflow keras pytorch
Web Developer,html css javascript react frontend backend nodejs
Backend Developer,python java nodejs api database mysql mongodb
Frontend Developer,html css javascript react ui ux responsive design
DevOps Engineer,ci cd pipelines docker kubernetes aws linux automation
Cyber Security Analyst,network security ethical hacking firewalls risk analysis
Data Analyst,sql excel python powerbi data visualization reporting
Mobile App Developer,android ios flutter react native mobile development
Machine Learning Engineer,python machine learning model training deployment mlops
